5406:01-16 17:19:10.632  6269  6269 W Looper  : Slow Looper main: Activity com.android.todolist/.MainActivity is 395ms late (wall=0ms running=0ms ClientTransaction{ callbacks=[android.app.servertransaction.TopResumedActivityChangeItem] }) because of 2 msg, msg 1 took 194ms (seq=2 running=177ms runnable=2ms io=1ms late=1ms h=android.app.ActivityThread$H w=110), msg 2 took 228ms (seq=3 running=201ms runnable=3ms io=5ms late=167ms h=android.app.ActivityThread$H w=159)
7720:01-16 17:52:28.560  1801 14461 I ActivityTaskManager: START u0 {act=android.settings.APPLICATION_DETAILS_SETTINGS dat=package:com.android.todolist flg=0x10008000 cmp=com.android.settings/.applications.InstalledAppDetails} from uid 10025
9049:01-16 17:54:19.365  1801  5142 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.android.todolist/.MainActivity bnds=[587,1010][755,1178] (has extras)} from uid 10025
9053:01-16 17:54:19.944  1801  3638 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{9d9a9d8 u0 com.android.todolist/.MainActivity t12332} time:76136124
9058:01-16 17:54:22.856  4988 18081 W MiuiPerfServiceClient: interceptAndQueuing:6269|com.android.todolist|292|218|unknown|null|com.android.todolist/com.android.todolist.MainActivity|76137874600433|Slow issue draw commands|6
9061:01-16 17:54:25.271  4988 18081 W MiuiPerfServiceClient: interceptAndQueuing:6269|com.android.todolist|193|97|unknown|null|com.android.todolist/com.android.todolist.MainActivity|76139354000224|Slow main thread|2
9062:01-16 17:54:25.337  4988 18081 W MiuiPerfServiceClient: interceptAndQueuing:6269|com.android.todolist|116|72|unknown|null|com.android.todolist/com.android.todolist.MainActivity|76141039533765|Slow issue draw commands|3
9065:01-16 17:54:31.764  1801  3686 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.ListActivity (has extras)} from uid 10403
9066:01-16 17:54:31.786  1801  3763 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
9243:01-16 17:54:32.463  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{802c301 u0 com.android.todolist/.ListActivity t12332} time:76148643
9249:01-16 17:54:33.778  1801  5142 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@5f98476
12363:01-16 17:58:42.177  1801  9345 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.MainActivity} from uid 10403
12364:01-16 17:58:42.196  1801  9345 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
12369:01-16 17:58:42.842  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{c8c9f9 u0 com.android.todolist/.MainActivity t12332} time:76399022
12375:01-16 17:58:49.068  1801  6328 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.ListActivity (has extras)} from uid 10403
12376:01-16 17:58:49.089  1801  6328 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
12386:01-16 17:58:49.739  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{dea7b2c u0 com.android.todolist/.ListActivity t12332} time:76405919
12400:01-16 17:58:51.088  1801  3783 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@4bea2c5
12577:01-16 17:58:54.209  1801  3763 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.MainActivity} from uid 10403
12578:01-16 17:58:54.225  1801  3763 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
12584:01-16 17:58:54.858  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{24a5264 u0 com.android.todolist/.MainActivity t12332} time:76411038
13209:01-16 18:00:07.581  1801 15259 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.ListActivity (has extras)} from uid 10403
13210:01-16 18:00:07.598  1801  4982 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
13235:01-16 18:00:08.201  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{b70842b u0 com.android.todolist/.ListActivity t12332} time:76484381
13393:01-16 18:00:09.585  1801  8845 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@8edbec1
13395:01-16 18:00:09.847  1801  7148 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.MainActivity} from uid 10403
13396:01-16 18:00:09.859  1801  8845 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
13403:01-16 18:00:10.483  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{91fafc0 u0 com.android.todolist/.MainActivity t12332} time:76486663
13777:01-16 18:00:57.789  1801  4994 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.ListActivity (has extras)} from uid 10403
13778:01-16 18:00:57.806  1801  4994 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
13786:01-16 18:00:58.594  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{4461302 u0 com.android.todolist/.ListActivity t12332} time:76534774
13789:01-16 18:00:59.800  1801  6328 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@94d0b5e
14086:01-16 18:01:18.348  1801  7148 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.MainActivity} from uid 10403
14087:01-16 18:01:18.362  1801  4979 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
14093:01-16 18:01:18.983  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{dea1df6 u0 com.android.todolist/.MainActivity t12332} time:76555164
14096:01-16 18:01:19.752  1801  4979 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.ListActivity (has extras)} from uid 10403
14097:01-16 18:01:19.768  1801  4979 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
14105:01-16 18:01:20.345  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{f339fdf u0 com.android.todolist/.ListActivity t12332} time:76556525
